datetime,U_DYFAMED,datenum,lat,lon
2025-02-16 13:00:00,1.6,20135.541666666668,43.38,7.83
2025-02-16 14:00:00,1.8,20135.583333333332,43.38,7.83
2025-02-16 15:00:00,1.0,20135.625,43.38,7.83
2025-02-16 18:00:00,1.0,20135.75,43.38,7.83
2025-02-16 19:00:00,1.9,20135.791666666668,43.38,7.83
2025-02-16 20:00:00,2.9,20135.833333333332,43.38,7.83
2025-02-16 21:00:00,5.4,20135.875,43.38,7.83
2025-02-16 22:00:00,6.5,20135.916666666668,43.38,7.83
2025-02-16 23:00:00,6.5,20135.958333333332,43.38,7.83
2025-02-17 00:00:00,7.8,20136.0,43.38,7.83
2025-02-17 01:00:00,8.4,20136.041666666668,43.38,7.83
2025-02-17 02:00:00,8.9,20136.083333333332,43.38,7.83
2025-02-17 03:00:00,9.3,20136.125,43.38,7.83
2025-02-17 04:00:00,8.9,20136.166666666668,43.38,7.83
2025-02-17 05:00:00,8.6,20136.208333333332,43.38,7.83
2025-02-17 06:00:00,8.6,20136.25,43.38,7.83
2025-02-17 07:00:00,9.2,20136.291666666668,43.38,7.83
2025-02-17 08:00:00,9.8,20136.333333333332,43.38,7.83
2025-02-17 09:00:00,9.7,20136.375,43.38,7.83
2025-02-17 10:00:00,10.2,20136.416666666668,43.38,7.83
2025-02-17 11:00:00,10.3,20136.458333333332,43.38,7.83
2025-02-17 12:00:00,9.2,20136.5,43.38,7.83
2025-02-17 13:00:00,9.0,20136.541666666668,43.38,7.83
2025-02-17 14:00:00,9.0,20136.583333333332,43.38,7.83
2025-02-17 15:00:00,8.6,20136.625,43.38,7.83
2025-02-17 16:00:00,8.6,20136.666666666668,43.38,7.83
2025-02-17 17:00:00,8.6,20136.708333333332,43.38,7.83
2025-02-17 18:00:00,8.4,20136.75,43.38,7.83
2025-02-17 19:00:00,7.9,20136.791666666668,43.38,7.83
2025-02-17 20:00:00,8.1,20136.833333333332,43.38,7.83
2025-02-17 21:00:00,7.7,20136.875,43.38,7.83
2025-02-17 22:00:00,7.9,20136.916666666668,43.38,7.83
2025-02-17 23:00:00,7.4,20136.958333333332,43.38,7.83
2025-02-18 00:00:00,7.6,20137.0,43.38,7.83
2025-02-18 01:00:00,6.8,20137.041666666668,43.38,7.83
2025-02-18 02:00:00,6.9,20137.083333333332,43.38,7.83
2025-02-18 03:00:00,7.1,20137.125,43.38,7.83
2025-02-18 04:00:00,6.2,20137.166666666668,43.38,7.83
2025-02-18 05:00:00,6.4,20137.208333333332,43.38,7.83
2025-02-18 06:00:00,6.6,20137.25,43.38,7.83
2025-02-18 07:00:00,6.0,20137.291666666668,43.38,7.83
2025-02-18 08:00:00,6.4,20137.333333333332,43.38,7.83
2025-02-18 09:00:00,6.1,20137.375,43.38,7.83
2025-02-18 10:00:00,6.3,20137.416666666668,43.38,7.83
2025-02-18 11:00:00,6.3,20137.458333333332,43.38,7.83
2025-02-18 12:00:00,6.1,20137.5,43.38,7.83
2025-02-18 13:00:00,5.1,20137.541666666668,43.38,7.83
2025-02-18 14:00:00,4.9,20137.583333333332,43.38,7.83
2025-02-18 15:00:00,4.8,20137.625,43.38,7.83
2025-02-18 16:00:00,5.2,20137.666666666668,43.38,7.83
2025-02-18 17:00:00,5.6,20137.708333333332,43.38,7.83
2025-02-18 18:00:00,6.1,20137.75,43.38,7.83
2025-02-18 19:00:00,7.1,20137.791666666668,43.38,7.83
2025-02-18 20:00:00,8.0,20137.833333333332,43.38,7.83
2025-02-18 21:00:00,8.6,20137.875,43.38,7.83
2025-02-18 22:00:00,8.6,20137.916666666668,43.38,7.83
2025-02-18 23:00:00,8.8,20137.958333333332,43.38,7.83
2025-02-19 00:00:00,9.5,20138.0,43.38,7.83
2025-02-19 01:00:00,9.7,20138.041666666668,43.38,7.83
2025-02-19 02:00:00,9.2,20138.083333333332,43.38,7.83
2025-02-19 03:00:00,9.4,20138.125,43.38,7.83
2025-02-19 04:00:00,9.2,20138.166666666668,43.38,7.83
2025-02-19 05:00:00,9.5,20138.208333333332,43.38,7.83
2025-02-19 06:00:00,9.2,20138.25,43.38,7.83
2025-02-19 07:00:00,10.2,20138.291666666668,43.38,7.83
2025-02-19 08:00:00,10.7,20138.333333333332,43.38,7.83
2025-02-19 09:00:00,11.0,20138.375,43.38,7.83
2025-02-19 10:00:00,11.6,20138.416666666668,43.38,7.83
2025-02-19 11:00:00,11.8,20138.458333333332,43.38,7.83
2025-02-19 12:00:00,11.6,20138.5,43.38,7.83
2025-02-19 13:00:00,11.7,20138.541666666668,43.38,7.83
2025-02-19 14:00:00,11.3,20138.583333333332,43.38,7.83
2025-02-19 15:00:00,11.6,20138.625,43.38,7.83
2025-02-19 16:00:00,11.1,20138.666666666668,43.38,7.83
2025-02-19 17:00:00,10.8,20138.708333333332,43.38,7.83
2025-02-19 18:00:00,10.4,20138.75,43.38,7.83
2025-02-19 21:00:00,,20138.875,43.38,7.83
2025-02-20 00:00:00,9.3,20139.0,43.38,7.83
2025-02-20 01:00:00,9.3,20139.041666666668,43.38,7.83
2025-02-20 02:00:00,8.6,20139.083333333332,43.38,7.83
